RECORD_ID,REPAIR_NAME,REPAIR_HOURS
fa8f001992574f4598d58521cb64c57d,添加防冻液,1.0
fa8f001992574f4598d58521cb64c57d,焊接排气管,1.0
fa8f001992574f4598d58521cb64c57d,拆装排气管,1.0
396730eb69384f39ae4d34a70c4331f9,车辆首保,0.0
d0eb51f0ab234634ab0184d455798e3a,更换机油、机滤、空滤,3.0
a37f8dc6a93844cbaa9fed7671fb8eb7,XM工时费,2.0
ceb3d891d39245dfa5ea0ad686c25ff7,倒胎*6,12.0
ceb3d891d39245dfa5ea0ad686c25ff7,全车打黄油,7.0
fe43393e7c024f2bb59af753092b14e5,全车打黄油,7.0
fe43393e7c024f2bb59af753092b14e5,倒胎*6,12.0
dd60fa57fd5949f1a0728eb71d46ba49,解码,4.0
19fc2f98653445b7850cfb23d8f25a14,二级维护,1.0
b29f6b140b8048298469f09a4ba3d2d2,外出费,1.0
86084be52a5d4d148e709e8b0c7141a5,拆装更换右转向节主销,3.5
6a0d168c3ed740d78aba7b93ed172236,换前轮刹车片,4.0
4bc5c564c8b3458eabf8975847626bb9,更换后桥油,0.4
5387ed4e6888431db670c05e143adbf3,清故障码、再生,1.0
affb9830f18f43cf821d4c1905f3457a,修复制动系,5.0
affb9830f18f43cf821d4c1905f3457a,修复,1.0
affb9830f18f43cf821d4c1905f3457a,修复转向系,2.0
affb9830f18f43cf821d4c1905f3457a,修复电器,2.0
affb9830f18f43cf821d4c1905f3457a,修复行驶系,2.0
affb9830f18f43cf821d4c1905f3457a,修复传动系,2.0
affb9830f18f43cf821d4c1905f3457a,修复车身（车厢）,2.0
affb9830f18f43cf821d4c1905f3457a,修复离合器,2.0
affb9830f18f43cf821d4c1905f3457a,修复发动机,2.0
edf6ff8c5292431aaa41f4474e84d737,四轮保养，检查横直拉杆球头，全车润滑,0.0
8355edcd56d0429abb1fda206d9b5ee6,更换机油,1.0
cfb2dd461ff646009c580e1c09f48ec8,打黄油,1.0
cfb2dd461ff646009c580e1c09f48ec8,吹空气滤芯,1.0
37d9d6311b804623ba789d041466fec3,跃进三包车身模块,1.0
985e59076ec0492db62e7eba3f6a74d4,二级维护作业内容,2.0
aeea31f1707c4e09aed4fc46cac1fcf4,更换皮带轮,50.0
e1326592714c4d29ac1750382ed89bba,换机油三滤,1.0
301ad89e94e24759bbbc8898f18d47d5,首保（换机油机滤变速箱油）,1.0
f1115911487d41ae9cd0d310051593bd,四轮保养,4.0
f1115911487d41ae9cd0d310051593bd,更换机油机滤,1.0
f1115911487d41ae9cd0d310051593bd,打黄油（轻卡）,1.0
bc0363abf95d48068dd9567fc04f17a5,密封胶,1.0
bc0363abf95d48068dd9567fc04f17a5,二级维护,1.0
b780f2a70a1246d692096d7efeb07f81,二级维护作业内容,2.0
3b68fd2d095e496c84341d081b0afc35,XM保养工时,1.0
3b68fd2d095e496c84341d081b0afc35,XM更换1个十字轴工时,1.0
f0c9e5fa09824502bb2a3530000c5d57,二级维护资料管理费,1.0
f0c9e5fa09824502bb2a3530000c5d57,二维扒四轮保养,1.0
e92011f24776464486d38e96d5d321eb,二级维护,70.0
f6fb9763a3074cc3adc989ea7059e0b8,拆装尿素喷射泵,0.0
e956ccb4fccb4b25b55734647b2dab75,换柴滤,1.0
12d83bc668b64c7faf23ab1bcdffef5b,维修费,19.3
12d83bc668b64c7faf23ab1bcdffef5b,救援,19.3
322d49fc24fd491f91179d7ac6a54b17,环保检测费,1.0
6597cb6684a2440d8de6d85cc66c6c64,打黄油,3.0
7fb3023bfa1545f883de03379a61b8fd,左后尾灯总成,1.0
f03acfef6645452db2ea889515f8bc20,打黄油,0.0
9f6b571594824b1b95fc646f9f2a75c4,工时费1小时,0.0
ec8db516d17b4fd9bd2cbcc18f314c22,二级维护4,4.0
1ac2759c1e2d4ebdafa714ba0a09cfc3,更换刹车片,12.0
3cec75940ba947f9b61c8eae8f2b9021,首保一套,0.0
3cec75940ba947f9b61c8eae8f2b9021,机油 15W40  6.5升,0.0
3cec75940ba947f9b61c8eae8f2b9021,更换机油机滤变速箱油,0.0
3cec75940ba947f9b61c8eae8f2b9021,机滤 C00114605,0.0
3cec75940ba947f9b61c8eae8f2b9021,变速箱油 75W90  2.7升,0.0
b6cdd11b1c1f4cc9a9c535ef2c6081c6,机滤 114434X251313,0.0
b6cdd11b1c1f4cc9a9c535ef2c6081c6,首保一套,0.0
b6cdd11b1c1f4cc9a9c535ef2c6081c6,更换机油机滤,1.1
b6cdd11b1c1f4cc9a9c535ef2c6081c6,机油 CJ4 15W40 2桶,0.0
b6cdd11b1c1f4cc9a9c535ef2c6081c6,大灯光调整，现在是一高一低,0.0
419afe66535d45818c41fdac3af489ff,机工：保养 打黄油,1.0
34ce2f27556a4eb0803c9d41171224e1,换机油，滤芯工时,0.0
0b48312a1c594cb1a643c2a1bd66bed6,加装大屏（销售）,1.0
80e1ad4665434a7abd6ed1471ac31199,保养工时费,1.0
80e1ad4665434a7abd6ed1471ac31199,换柴油滤芯工时,1.0
